Name,Class,Country,Year of Launch
Quincy (Baltimore-class),Baltimore-class Heavy Cruiser,United States,
Quincy (New Orleans-class),New Orleans-class Heavy Cruiser,United States,1935
R-1,R-class Submarine,United States,1918
R-14,R-class Submarine,United States,
R-5,R-class Submarine,United States,1918
R-7,R-class Submarine,United States,
Raleigh,Omaha-class Light Cruiser,United States,
Rall,Evarts-class Destroyer Escort,United States,1943
Ralph Talbot,Bagley-class Destroyer,United States,1936
Randolph,Essex-class Aircraft Carrier,United States,1944
Ranger,Ranger-class Aircraft Carrier,United States,
Rasher,Gato-class Submarine,United States,
Raton,Gato-class Submarine,United States,
Rawalpindi,R-class Merchant Vessel,United Kingdom,1925
Ray,Gato-class Submarine,United States,1943
Razorback,Balao-class Submarine,United States,
Redfin,Gato-class Submarine,United States,
Redfish,Balao-class Submarine,United States,
Renown,Renown-class Battlecruiser,United Kingdom,
Renraku-tei-class Summary Information,Renraku-tei-class Motor Torpedo Boat,Japan,
Renshaw,Fletcher-class Destroyer,United States,1942
Repulse,Renown-class Battlecruiser,United Kingdom,
Resolution,Revenge-class Battleship,United Kingdom,
Reuben James,Clemson-class Destroyer,United States,1919
Richelieu,Richelieu-class Battleship,France,1939
Ro-58,Type L3-class Submarine,Japan,1922
Robalo,Gato-class Submarine,United States,
Rock,Gato-class Submarine,United States,1943
Rodney,Nelson-class Battleship,United Kingdom,1925
Roma,Vittorio Veneto-class Battleship,Italy,1940
Roncador,Balao-class Submarine,United States,
Ronquil,Balao-class Submarine,United States,
Royal Sovereign,Revenge-class Battleship,United Kingdom,1915
Runner (Gato-class),Gato-class Submarine,United States,1942
Runner (Tench-class),Tench-class Submarine,United States,
Ryuho,Ryuho-class Aircraft Carrier,Japan,1933
Ryujo,Ryujo-class Aircraft Carrier,Japan,1931
S-18,S-class Submarine,United States,1920
S-23,S-class Submarine,United States,1920
S-26,S-class Submarine,United States,
S-27,S-class Submarine,United States,
S-28,S-class Submarine,United States,1922
S-30,S-class Submarine,United States,1918
S-31,S-class Submarine,United States,1918
S-32,S-class Submarine,United States,1919
S-33,S-class Submarine,United States,1918
S-34,S-class Submarine,United States,1919
S-35,S-class Submarine,United States,1919
S-36,S-class Submarine,United States,
S-37,S-class Submarine,United States,1919
S-38,S-class Submarine,United States,
S-39,S-class Submarine,United States,
S-40,S-class Submarine,United States,1921
S-41,S-class Submarine,United States,
S-42,S-class Submarine,United States,
S-43,S-class Submarine,United States,
S-44,S-class Submarine,United States,1923
S-45,S-class Submarine,United States,1923
S-46,S-class Submarine,United States,1923
S-47,S-class Submarine,United States,
S-7,Srednyaya-class Submarine,Russia,1937
Sable,No Classification,United States,1923
Saginaw Bay,Casablanca-class Escort Carrier,United States,
Sailfish,Sargo-class Submarine,United States,
Saint Paul,Baltimore-class Heavy Cruiser,United States,1944
Sakawa,Agano-class Light Cruiser,Japan,1944
Salmon,Salmon-class Submarine,United States,1937
Salt Lake City,Pensacola-class Heavy Cruiser,United States,1929
San Diego,Atlanta-class Light Cruiser,United States,1941
San Francisco,New Orleans-class Heavy Cruiser,United States,
San Jacinto,Independence-class Light Carrier,United States,1943
San Juan,Atlanta-class Light Cruiser,United States,1941
Sanborn,Haskell-class Attack Transport,United States,1944
Sand Lance,Balao-class Submarine,United States,
Saratoga,Lexington-class Aircraft Carrier,United States,1925
Sargent Bay,Casablanca-class Escort Carrier,United States,1944
Sargo,Sargo-class Submarine,United States,1938
Saufley,Fletcher-class Destroyer,United States,1942
Saury,Sargo-class Submarine,United States,
Savo Island,Casablanca-class Escort Carrier,United States,1943
Sawfish,Gato-class Submarine,United States,1942
Scabbardfish,Balao-class Submarine,United States,
Scamp,Gato-class Submarine,United States,
Scharnhorst,Gneisenau-class Battlecruiser,Germany,1936
Schlesien,Deutschland-class Battleship,Germany,1906
Schleswig-Holstein,Deutschland-class Battleship,Germany,1906
Schnellboot-class Summary Information,Schnellboot-class Motor Torpedo Boat,Germany,
Scirè,Adua-class Submarine,Italy,1938
Scorpion,Gato-class Submarine,United States,1942
Sculpin,Sargo-class Submarine,United States,
Sea Cat,Balao-class Submarine,United States,1944
Sea Devil,Balao-class Submarine,United States,
Sea Dog,Balao-class Submarine,United States,
Sea Fox,Balao-class Submarine,United States,
Sea Owl,Balao-class Submarine,United States,
Sea Poacher,Balao-class Submarine,United States,
Sea Robin,Balao-class Submarine,United States,1944
Seadragon,Sargo-class Submarine,United States,
Seahorse,Balao-class Submarine,United States,1943
Seal,Salmon-class Submarine,United States,1937
Sealion (Balao-class),Balao-class Submarine,United States,
Sealion (Sargo-class),Sargo-class Submarine,United States,1939
Searaven,Sargo-class Submarine,United States,1939
Seawolf,Sargo-class Submarine,United States,
Segundo,Balao-class Submarine,United States,1944
Seisho Maru,No Classification,Japan,1918
Sendai,Sendai-class Light Cruiser,Japan,1923
Sennet,Balao-class Submarine,United States,1944
Settsu,Kawachi-class Battleship,Japan,1911
Shad,Gato-class Submarine,United States,1942
Shamrock Bay,Casablanca-class Escort Carrier,United States,1944
Shark (Balao-class),Balao-class Submarine,United States,1943
Shark (Porpoise-class),Porpoise-class Submarine,United States,1935
ShCh-205,Shchuka-class Submarine,Russia,1934
ShCh-307,Shchuka-class Submarine,Russia,1934
ShCh-317,Shchuka-class Submarine,Russia,1935
ShCh-320,Shchuka-class Submarine,Russia,1935
ShCh-324,Shchuka-class Submarine,Russia,1935
ShCh-401,Shchuka-class Submarine,Russia,1935
Shigure,Shiratsuyu-class Destroyer,Japan,1936
Shimakaze,Shimakaze-class Destroyer,Japan,1942
Shinano,Shinano-class Aircraft Carrier,Japan,1944
Shinyo Maru,No Classification,Japan,
Shinyo,Shinyo-class Escort Carrier,Japan,
Shinyo-class Summary Information,Shinyo-class Motor Torpedo Boat,Japan,
Shoho,Zuiho-class Light Carrier,Japan,1935
Shokaku,Shokaku-class Aircraft Carrier,Japan,1939
Silversides,Gato-class Submarine,United States,
Sims,Sims-class Destroyer,United States,1939
Skate,Balao-class Submarine,United States,
Skipjack,Salmon-class Submarine,United States,1937
Smalley,Fletcher-class Destroyer,United States,1943
Snapper,Salmon-class Submarine,United States,
Snook,Gato-class Submarine,United States,1942
Sokrushitelnyi,Gnevny-class Destroyer,Russia,1936
Soryu,Soryu-class Aircraft Carrier,Japan,1935
South Dakota,South Dakota-class Battleship,United States,1941
Soya,No Classification,Japan,1937
Spadefish,Balao-class Submarine,United States,
Spearfish,Sargo-class Submarine,United States,
Spencer,Treasury-class USCG Cutter,United States,1937
Spikefish,Balao-class Submarine,United States,
Spot,Balao-class Submarine,United States,1944
Springer,Balao-class Submarine,United States,1944
Sproston,Fletcher-class Destroyer,United States,1942
St. Louis,St. Louis-class Light Cruiser,United States,1938
Steamer Bay,Casablanca-class Escort Carrier,United States,1944
Steelhead,Gato-class Submarine,United States,
Sterlet,Balao-class Submarine,United States,1943
Stickleback,Balao-class Submarine,United States,
Stingray,Salmon-class Submarine,United States,
Stord,S-class Destroyer,Norway,1943
Strasbourg,Dunkerque-class Battleship,France,1936
Stuart,Scott-class Destroyer,Australia,1918
Sturgeon,Salmon-class Submarine,United States,
Suffren,Suffren-class Heavy Cruiser,France,1927
Sunfish (Gato-class),Gato-class Submarine,United States,1942
Sunfish (S-class),S-class Submarine,United Kingdom,1936
Suzukaze,Shiratsuyu-class Destroyer,Japan,
Suzuya,Mogami-class Heavy Cruiser,Japan,1934
Swordfish,Sargo-class Submarine,United States,
Sydney,Leander-class Light Cruiser,Australia,1934
Taiho,Taiho-class Aircraft Carrier,Japan,1943
Taiyo,Taiyo-class Escort Carrier,Japan,1940
Takao,Takao-class Heavy Cruiser,Japan,1930
Takasago Maru,No Classification,Japan,
Tama,Kuma-class Light Cruiser,Japan,1920
Tambor,Tambor-class Submarine,United States,
Tang,Balao-class Submarine,United States,1943
Tanikaze,Kagero-class Destroyer,Japan,1940
Tarpon,Porpoise-class Submarine,United States,
Tatsuta Maru,No Classification,Japan,1929
Tatsuta,Tenryu-class Light Cruiser,Japan,1918
Tautog,Tambor-class Submarine,United States,1940
Tench,Tench-class Submarine,United States,
Tennessee,Tennessee-class Battleship,United States,
Tenryu,Tenryu-class Light Cruiser,Japan,1918
Texas,New York-class Battleship,United States,1912
Thorn,Gleaves-class Destroyer,United States,1943
Thornback,Tench-class Submarine,United States,
Thornycroft-class Summary Information,Thornycroft-class Motor Launch,United Kingdom,
Threadfin,Balao-class Submarine,United States,
Thresher,Tambor-class Submarine,United States,
Thunderbolt,T-class Submarine,United Kingdom,1938
Ticonderoga,Essex-class Aircraft Carrier,United States,1944
Tigrone,Tench-class Submarine,United States,
Tilefish,Balao-class Submarine,United States,
Tinosa,Gato-class Submarine,United States,
Tirante,Tench-class Submarine,United States,1944
Tirpitz,Bismarck-class Battleship,Germany,1939
Tone,Tone-class Heavy Cruiser,Japan,1937
Tongji,Tongji-class Light Cruiser,China,
Torsk,Tench-class Submarine,United States,
Tourville,Duquesne-class Heavy Cruiser,France,
Toyama Maru,No Classification,Japan,
Tranquility,Haven-class Hospital Ship,United States,1944
Trento,Trento-class Heavy Cruiser,Italy,1927
Trepang,Balao-class Submarine,United States,1944
Tribune,T-class Submarine,United Kingdom,1938
Trieste,Trento-class Heavy Cruiser,Italy,1926
Trigger,Gato-class Submarine,United States,
Trillium,Flower-class Corvette,Canada,1940
Triton,Tambor-class Submarine,United States,
Trout,Tambor-class Submarine,United States,
Trutta,Tench-class Submarine,United States,
Tsushima Maru,No Classification,Japan,
Tucker,Mahan-class Destroyer,United States,1936
Tullibee,Gato-class Submarine,United States,
Tuna,Tambor-class Submarine,United States,
Tunny,Gato-class Submarine,United States,1942
Tuscaloosa,New Orleans-class Heavy Cruiser,United States,1933
Type B-class Summary Information,Type B-class Midget Submarine,Japan,
Type C-class Summary Information,Type C-class Midget Submarine,Japan,
Type D-class Summary Information,Type D-class Midget Submarine,Japan,
Type XXVII-class Summary Information,Type XXVII-class Midget Submarine,Germany,
U-166,IXC-class Submarine,Germany,
U-175,IXC-class Submarine,Germany,
U-27,Type VII-class Submarine,Germany,1936
U-36,Type VII-class Submarine,Germany,1936
U-47,Type VII-class Submarine,Germany,
U-505,IXC-class Submarine,Germany,
U-52,Type VII-class Submarine,Germany,1938
U-530,IXC-class Submarine,Germany,1942
U-537,IXC-class Submarine,Germany,
U-576,Type VII-class Submarine,Germany,1941
U-869,IXC-class Submarine,Germany,1943
U-977,Type VII-class Submarine,Germany,1943
Unryu,Unryu-class Aircraft Carrier,Japan,1943
Unyo,Taiyo-class Escort Carrier,Japan,1939
Valiant,Queen Elizabeth-class Battleship,United Kingdom,1914
Vampire,V and W-class Destroyer,Australia,1917
Velite,Soldati-class Destroyer,Italy,
Vendetta,V and W-class Destroyer,Australia,1917
Victorious,Illustrious-class Aircraft Carrier,United Kingdom,1939
Victory-class Summary Information,Victory-class Merchant Vessel,United States,
Vincennes,New Orleans-class Heavy Cruiser,United States,1936
Vincenzo Gioberti,Oriani-class Destroyer,Italy,
Vittorio Alfieri,Oriani-class Destroyer,Italy,
Vittorio Veneto,Vittorio Veneto-class Battleship,Italy,1937
Voroshilov,Kirov-class Light Cruiser,Russia,1937
Väinämöinen,Väinämöinen-class Coastal Defense Ship,Finland,1932
Wahoo,Gato-class Submarine,United States,1942
Wake Island,Casablanca-class Escort Carrier,United States,1943
Waller,Fletcher-class Destroyer,United States,1942
Ward,Wickes-class Destroyer,United States,
Warspite,Queen Elizabeth-class Battleship,United Kingdom,1913
Washington,North Carolina-class Battleship,United States,1940
Wasp (Essex-class),Essex-class Aircraft Carrier,United States,1943
Wasp (Wasp-class),Wasp-class Aircraft Carrier,United States,1939
Waterhen,V and W-class Destroyer,Australia,1918
Wedderburn,Fletcher-class Destroyer,United States,1943
West Virginia,Colorado-class Battleship,United States,
Westcott,V and W-class Destroyer,United Kingdom,1918
Whale,Gato-class Submarine,United States,1942
Whitehall,V and W-class Destroyer,United Kingdom,1919
Wickes,Fletcher-class Destroyer,United States,1942
Wilhelm Gustloff,No Classification,Germany,
Wisconsin,Iowa-class Battleship,United States,1943
Wolverine,No Classification,United States,
Yahagi,Agano-class Light Cruiser,Japan,1942
Yamagumo,Asashio-class Destroyer,Japan,1938
Yamashiro,Fuso-class Battleship,Japan,1915
Yamato,Yamato-class Battleship,Japan,1940
Yingrui,Zhaohe-class Protected Cruiser,China,1911
Yorktown (Essex-class),Essex-class Aircraft Carrier,United States,1943
Yorktown (Yorktown-class),Yorktown-class Aircraft Carrier,United States,1936
Young,Fletcher-class Destroyer,United States,1942
Yubari,Yubari-class Light Cruiser,Japan,1923
Yugure,Hatsuharu-class Destroyer,Japan,
Yukikaze,Kagero-class Destroyer,Japan,1939
Yura,Nagara-class Light Cruiser,Japan,1922
Yuzuki,Mutsuki-class Destroyer,Japan,1927
Zara,Zara-class Heavy Cruiser,Italy,1930
Zhaohe,Zhaohe-class Protected Cruiser,China,1911
Zuiho,Zuiho-class Light Carrier,Japan,1936
Zuikaku,Shokaku-class Aircraft Carrier,Japan,1939
Émile Bertin,Émile Bertin-class Light Cruiser,France,1933
